JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6 HELCOR AIRMASS 
Aperture: 5, Filter: V, JD: geocentric
2457070.48209 -2.2008 0.0104 -1.7710 0.0072 -1.5072 0.0061 0.4298 0.0123 0.6936 0.0117 0.2638 0.0090 0.00238 1.312 
2457070.48262 -2.2214 0.0106 -1.7825 0.0073 -1.5057 0.0061 0.4389 0.0125 0.7157 0.0119 0.2768 0.0091 0.00238 1.314 
2457070.48315 -2.2100 0.0105 -1.7900 0.0073 -1.5255 0.0064 0.4200 0.0125 0.6845 0.0120 0.2645 0.0093 0.00238 1.316 
2457070.48368 -2.2011 0.0105 -1.7872 0.0074 -1.5100 0.0062 0.4139 0.0125 0.6911 0.0119 0.2772 0.0092 0.00238 1.318 
2457070.48440 -2.1948 0.0106 -1.7648 0.0072 -1.5034 0.0062 0.4300 0.0125 0.6914 0.0120 0.2614 0.0091 0.00238 1.320 
2457070.48492 -2.2088 0.0109 -1.7770 0.0075 -1.4963 0.0059 0.4318 0.0129 0.7125 0.0121 0.2807 0.0091 0.00238 1.322 
2457070.48545 -2.1928 0.0106 -1.7666 0.0073 -1.4932 0.0062 0.4262 0.0125 0.6996 0.0120 0.2734 0.0092 0.00238 1.324 
2457070.48598 -2.2255 0.0109 -1.7849 0.0074 -1.5016 0.0062 0.4406 0.0128 0.7239 0.0122 0.2833 0.0092 0.00238 1.326 
2457070.48650 -2.1883 0.0109 -1.7851 0.0077 -1.4941 0.0062 0.4032 0.0130 0.6942 0.0122 0.2910 0.0095 0.00238 1.327 
2457070.48704 -2.1809 0.0105 -1.7759 0.0075 -1.4885 0.0061 0.4050 0.0126 0.6924 0.0118 0.2874 0.0092 0.00238 1.329 
2457070.48756 -2.1879 0.0102 -1.7643 0.0074 -1.5002 0.0062 0.4236 0.0123 0.6877 0.0116 0.2641 0.0092 0.00238 1.331 
2457070.48809 -2.1783 0.0101 -1.7642 0.0074 -1.4914 0.0060 0.4141 0.0122 0.6869 0.0114 0.2728 0.0091 0.00238 1.333 
2457070.48862 -2.2153 0.0103 -1.7786 0.0072 -1.5149 0.0060 0.4367 0.0122 0.7004 0.0116 0.2637 0.0089 0.00238 1.335 
2457070.48914 -2.1978 0.0101 -1.7774 0.0074 -1.4952 0.0061 0.4204 0.0122 0.7026 0.0115 0.2822 0.0092 0.00238 1.337 
2457070.48968 -2.1950 0.0103 -1.7810 0.0074 -1.5011 0.0060 0.4140 0.0123 0.6939 0.0116 0.2799 0.0091 0.00238 1.338 
2457070.49020 -2.2041 0.0107 -1.7817 0.0074 -1.4974 0.0062 0.4224 0.0127 0.7067 0.0120 0.2843 0.0092 0.00238 1.340 
2457070.49073 -2.2152 0.0108 -1.7795 0.0075 -1.5079 0.0060 0.4357 0.0128 0.7073 0.0120 0.2716 0.0092 0.00238 1.342 
2457070.49126 -2.1797 0.0104 -1.7822 0.0075 -1.5024 0.0059 0.3975 0.0125 0.6773 0.0116 0.2798 0.0091 0.00238 1.344 
2457070.49178 -2.2146 0.0109 -1.7639 0.0076 -1.4951 0.0061 0.4507 0.0130 0.7195 0.0122 0.2688 0.0093 0.00238 1.346 
2457070.49231 -2.1934 0.0103 -1.7741 0.0075 -1.5201 0.0061 0.4193 0.0124 0.6733 0.0116 0.2540 0.0092 0.00238 1.348 
2457070.49285 -2.2107 0.0108 -1.7892 0.0077 -1.5170 0.0063 0.4215 0.0129 0.6937 0.0122 0.2722 0.0095 0.00238 1.350 
2457070.49337 -2.1970 0.0103 -1.7820 0.0076 -1.5060 0.0062 0.4150 0.0125 0.6910 0.0117 0.2760 0.0094 0.00238 1.352 
2457070.49390 -2.1818 0.0105 -1.7504 0.0075 -1.4952 0.0062 0.4314 0.0126 0.6866 0.0119 0.2552 0.0093 0.00238 1.354 
2457070.49443 -2.2086 0.0107 -1.7829 0.0075 -1.5068 0.0061 0.4257 0.0127 0.7018 0.0120 0.2761 0.0092 0.00238 1.356 
2457070.49495 -2.2186 0.0109 -1.7778 0.0076 -1.4931 0.0061 0.4408 0.0130 0.7255 0.0122 0.2847 0.0093 0.00238 1.357 
2457070.49549 -2.2063 0.0107 -1.7579 0.0076 -1.4840 0.0063 0.4484 0.0128 0.7223 0.0121 0.2739 0.0094 0.00238 1.359 
2457070.49602 -2.2089 0.0108 -1.7796 0.0075 -1.4944 0.0061 0.4293 0.0128 0.7145 0.0121 0.2852 0.0092 0.00238 1.361 
2457070.49655 -2.2003 0.0112 -1.7730 0.0077 -1.4918 0.0061 0.4273 0.0133 0.7085 0.0124 0.2812 0.0094 0.00238 1.363 
