JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 V-C4 s5 C-C1 s6 C-C2 s7 C-C3 s8 C-C4 s9 C1-C2 s10 C1-C3 s11 C1-C4 s12 C2-C3 s13 C2-C4 s14 C3-C4 s15 HELCOR AIRMASS 
Aperture: 3, Filter: I, JD: geocentric
2456972.24691 -5.1987 0.0569 -2.6217 0.0060 99.9999 9.9999 -5.3101 0.0533 -5.3209 0.0543 2.5770 0.0572 99.9999 9.9999 -0.1114 0.0780 -0.1222 0.0787 99.9999 9.9999 -2.6884 0.0536 -2.6992 0.0546 99.9999 9.9999 99.9999 9.9999 -0.0108 0.0761 0.00333 2.149 
2456972.24758 -5.0944 0.0576 -2.4713 0.0061 99.9999 9.9999 -5.4354 0.0681 -5.4356 0.0700 2.6231 0.0579 99.9999 9.9999 -0.3410 0.0892 -0.3412 0.0907 99.9999 9.9999 -2.9641 0.0684 -2.9643 0.0702 99.9999 9.9999 99.9999 9.9999 -0.0002 0.0977 0.00333 2.143 
2456972.24826 -5.1320 0.0477 -2.5976 0.0056 99.9999 9.9999 -5.3380 0.0494 -5.4806 0.0564 2.5344 0.0480 99.9999 9.9999 -0.2060 0.0687 -0.3486 0.0739 99.9999 9.9999 -2.7404 0.0497 -2.8830 0.0567 99.9999 9.9999 99.9999 9.9999 -0.1426 0.0750 0.00333 2.137 
2456972.24894 -5.0339 0.0611 -2.6145 0.0078 99.9999 9.9999 -5.4664 0.0861 -5.4669 0.0860 2.4194 0.0616 99.9999 9.9999 -0.4325 0.1056 -0.4330 0.1055 99.9999 9.9999 -2.8519 0.0864 -2.8524 0.0863 99.9999 9.9999 99.9999 9.9999 -0.0005 0.1217 0.00333 2.130 
2456972.24966 -5.0814 0.0772 -2.6092 0.0087 99.9999 9.9999 99.9999 9.9999 -5.2202 0.0752 2.4722 0.0777 99.9999 9.9999 99.9999 9.9999 -0.1388 0.1078 99.9999 9.9999 99.9999 9.9999 -2.6110 0.0757 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 2.124 
2456972.25036 -5.1354 0.0653 -2.5671 0.0074 99.9999 9.9999 -5.4780 0.0835 -5.4412 0.0831 2.5683 0.0657 99.9999 9.9999 -0.3426 0.1060 -0.3058 0.1057 99.9999 9.9999 -2.9109 0.0838 -2.8741 0.0834 99.9999 9.9999 99.9999 9.9999 0.0368 0.1178 0.00333 2.117 
2456972.25105 -5.1284 0.0672 -2.5447 0.0072 99.9999 9.9999 -5.6201 0.0944 -5.4165 0.0786 2.5837 0.0676 99.9999 9.9999 -0.4917 0.1159 -0.2881 0.1034 99.9999 9.9999 -3.0754 0.0947 -2.8718 0.0789 99.9999 9.9999 99.9999 9.9999 0.2036 0.1228 0.00333 2.111 
2456972.25175 -5.0665 0.0543 -2.7097 0.0069 99.9999 9.9999 -5.4143 0.0647 -5.5186 0.0717 2.3568 0.0547 99.9999 9.9999 -0.3478 0.0845 -0.4521 0.0899 99.9999 9.9999 -2.7046 0.0651 -2.8089 0.0720 99.9999 9.9999 99.9999 9.9999 -0.1043 0.0966 0.00333 2.105 
2456972.25244 -5.1030 0.0449 -2.5535 0.0052 99.9999 9.9999 -5.3241 0.0472 -5.3901 0.0499 2.5495 0.0452 99.9999 9.9999 -0.2211 0.0651 -0.2871 0.0671 99.9999 9.9999 -2.7706 0.0475 -2.8366 0.0502 99.9999 9.9999 99.9999 9.9999 -0.0660 0.0687 0.00333 2.099 
2456972.25314 -5.0682 0.0428 -2.6209 0.0054 -6.2763 0.1048 -5.3426 0.0458 -5.3883 0.0504 2.4473 0.0431 -1.2081 0.1132 -0.2744 0.0627 -0.3201 0.0661 -3.6554 0.1049 -2.7217 0.0461 -2.7674 0.0507 0.9337 0.1144 0.8880 0.1163 -0.0457 0.0681 0.00333 2.092 
2456972.25382 -5.0862 0.0521 -2.5202 0.0058 99.9999 9.9999 -5.3529 0.0564 -5.2912 0.0552 2.5660 0.0524 99.9999 9.9999 -0.2667 0.0768 -0.2050 0.0759 99.9999 9.9999 -2.8327 0.0567 -2.7710 0.0555 99.9999 9.9999 99.9999 9.9999 0.0617 0.0789 0.00333 2.086 
2456972.25451 -5.0334 0.0378 -2.4855 0.0046 -6.1007 0.0862 -5.3950 0.0450 -5.3965 0.0446 2.5479 0.0381 -1.0673 0.0941 -0.3616 0.0588 -0.3631 0.0585 -3.6152 0.0863 -2.9095 0.0452 -2.9110 0.0448 0.7057 0.0972 0.7042 0.0971 -0.0015 0.0634 0.00333 2.080 
2456972.25522 -5.0881 0.0369 -2.7435 0.0049 -6.1138 0.0719 -5.3793 0.0398 -5.3806 0.0394 2.3446 0.0372 -1.0257 0.0808 -0.2912 0.0543 -0.2925 0.0540 -3.3703 0.0721 -2.6358 0.0401 -2.6371 0.0397 0.7345 0.0822 0.7332 0.0820 -0.0013 0.0560 0.00333 2.074 
2456972.25593 -5.0534 0.0391 -2.4725 0.0047 -6.2151 0.0950 -5.2430 0.0405 -5.3174 0.0424 2.5809 0.0394 -1.1617 0.1027 -0.1896 0.0563 -0.2640 0.0577 -3.7426 0.0951 -2.7705 0.0408 -2.8449 0.0426 0.9721 0.1033 0.8977 0.1040 -0.0744 0.0586 0.00333 2.068 
2456972.25662 -5.0329 0.0436 -2.5733 0.0054 99.9999 9.9999 -5.3312 0.0498 -5.4284 0.0552 2.4596 0.0439 99.9999 9.9999 -0.2983 0.0662 -0.3955 0.0703 99.9999 9.9999 -2.7579 0.0501 -2.8551 0.0555 99.9999 9.9999 99.9999 9.9999 -0.0972 0.0743 0.00333 2.062 
2456972.25730 -4.9748 0.0374 -2.5622 0.0050 99.9999 9.9999 -5.3334 0.0428 -5.3635 0.0450 2.4126 0.0377 99.9999 9.9999 -0.3586 0.0568 -0.3887 0.0585 99.9999 9.9999 -2.7712 0.0431 -2.8013 0.0453 99.9999 9.9999 99.9999 9.9999 -0.0301 0.0621 0.00333 2.056 
2456972.25800 -5.0817 0.0477 -2.5976 0.0057 99.9999 9.9999 -5.2013 0.0459 -5.2624 0.0503 2.4841 0.0480 99.9999 9.9999 -0.1196 0.0662 -0.1807 0.0693 99.9999 9.9999 -2.6037 0.0462 -2.6648 0.0506 99.9999 9.9999 99.9999 9.9999 -0.0611 0.0681 0.00333 2.050 
2456972.25870 -5.1817 0.0554 -2.6931 0.0063 -6.0272 0.1021 -5.3746 0.0581 -5.2471 0.0500 2.4886 0.0557 -0.8455 0.1162 -0.1929 0.0803 -0.0654 0.0746 -3.3341 0.1023 -2.6815 0.0584 -2.5540 0.0504 0.6526 0.1175 0.7801 0.1137 0.1275 0.0767 0.00333 2.044 
2456972.26009 -5.0777 0.0527 -2.6392 0.0062 -6.1189 0.1106 -5.3835 0.0611 -5.3746 0.0607 2.4385 0.0531 -1.0412 0.1225 -0.3058 0.0807 -0.2969 0.0804 -3.4797 0.1108 -2.7443 0.0614 -2.7354 0.0610 0.7354 0.1264 0.7443 0.1262 0.0089 0.0861 0.00333 2.032 
2456972.26216 -5.0990 0.0721 -2.6242 0.0083 99.9999 9.9999 -5.3931 0.0857 -5.4835 0.0955 2.4748 0.0726 99.9999 9.9999 -0.2941 0.1120 -0.3845 0.1197 99.9999 9.9999 -2.7689 0.0861 -2.8593 0.0958 99.9999 9.9999 99.9999 9.9999 -0.0904 0.1283 0.00333 2.014 
2456972.26286 -5.0708 0.0847 -2.5318 0.0090 99.9999 9.9999 99.9999 9.9999 -5.2298 0.0911 2.5390 0.0852 99.9999 9.9999 99.9999 9.9999 -0.1590 0.1244 99.9999 9.9999 99.9999 9.9999 -2.6980 0.0915 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 2.008 
2456972.26355 -5.1082 0.0882 -2.5380 0.0100 99.9999 9.9999 -5.2259 0.0974 99.9999 9.9999 2.5702 0.0887 99.9999 9.9999 -0.1177 0.1314 99.9999 9.9999 99.9999 9.9999 -2.6879 0.0979 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 2.002 
